pair,hours,trades,win_rate_pct,exits_stop_loss,exits_trailing_profit,exits_signal_reversal,strategy_return_pct,buy_hold_return_pct,gap_pct,strategy_sharpe,buy_hold_sharpe,strategy_max_dd_pct,buy_hold_max_dd_pct
EURUSD,8760,206,31.07,1,7,198,-1.455182128956778,-7.035389574491613,5.580207445534835,-1.627138698227714,-0.9767316529597786,-1.7088435094304804,-11.603445621257181
GBPUSD,8760,207,38.65,6,17,184,-0.3795890685605152,2.5575249358681162,-2.9371140044286315,-0.3378689172806148,0.32821111459927893,-1.5111163153676255,-7.412452864636373
USDJPY,8760,205,30.73,0,7,198,-0.21269036278317444,8.365097935615351,-8.577788298398525,-0.24341024293863853,1.2538202075705083,-0.8901782436899819,-3.2476102490620176
AUDUSD,8760,220,37.73,11,35,173,-1.0088703024042744,3.3193218439120153,-4.32819214631629,-0.7319007160183638,0.35263018568157717,-2.209758331178764,-12.866337561707184
USDCAD,8760,219,26.48,4,17,197,-1.6643123868420706,-4.212268231223448,2.5479558443813777,-1.670259301848491,-0.47960455805434093,-2.124640805399326,-10.090960773166573
USDCHF,8760,206,30.58,3,11,192,-1.771986443238538,-0.07193460490463321,-1.7000518383339047,-1.8387644165245043,0.028379131239032414,-1.946308964773063,-5.691924206256989
XAUUSD,8760,176,28.98,40,49,87,-3.0179811189157357,1.0962953838573375,-4.114276502773073,-1.8511203522060304,0.15048935241399494,-3.3796376151241274,-14.837724283510594
