pair,hours,trades,win_rate_pct,exits_stop_loss,exits_trailing_profit,exits_signal_reversal,strategy_return_pct,buy_hold_return_pct,gap_pct,strategy_sharpe,buy_hold_sharpe,strategy_max_dd_pct,buy_hold_max_dd_pct
EURUSD,8760,87,41.38,5,20,62,-0.7880067628020515,-7.035389574491613,6.247382811689562,-0.8751004093073976,-0.9767316529597786,-1.6288362677375445,-11.603445621257181
GBPUSD,8760,117,39.32,8,38,71,-1.757727417266708,2.5575249358681162,-4.315252353134824,-1.5741857036710274,0.32821111459927893,-1.8769138451551122,-7.412452864636373
USDJPY,8760,78,38.46,0,19,59,0.814192295770999,8.365097935615351,-7.550905639844352,0.9730928895116375,1.2538202075705083,-0.6075800384358881,-3.2476102490620176
AUDUSD,8760,138,44.2,16,57,64,-0.40594650453802394,3.3193218439120153,-3.7252683484500393,-0.2928620414904206,0.35263018568157717,-1.7988644554871147,-12.866337561707184
USDCAD,8760,112,32.14,4,33,74,-1.2023005884043259,-4.212268231223448,3.0099676428191224,-1.0885707177162545,-0.47960455805434093,-1.593896803574997,-10.090960773166573
USDCHF,8760,100,31.0,3,29,68,-0.6782061578299081,-0.07193460490463321,-0.6062715529252749,-0.6788131091821523,0.028379131239032414,-1.092612218980157,-5.691924206256989
XAUUSD,8760,195,49.23,32,87,75,-0.4915410209721638,1.0962953838573375,-1.5878364048295013,-0.23115134963877113,0.15048935241399494,-2.1754658218199725,-14.837724283510594
