pair,hours,trades,win_rate_pct,exits_stop_loss,exits_trailing_profit,exits_signal_reversal,strategy_return_pct,buy_hold_return_pct,gap_pct,strategy_sharpe,buy_hold_sharpe,strategy_max_dd_pct,buy_hold_max_dd_pct
EURUSD,8760,64,35.94,5,20,39,-1.032144011206504,-7.035389574491613,6.003245563285109,-1.2358812173433065,-0.9767316529597786,-1.4336417109053612,-11.603445621257181
GBPUSD,8760,72,44.44,12,37,23,-0.4843459638641412,2.5575249358681162,-3.0418708997322574,-0.4876562974416937,0.32821111459927893,-1.3843378468575327,-7.412452864636373
USDJPY,8760,65,32.31,5,21,39,0.25503472252370596,8.365097935615351,-8.110063213091646,0.3161444961883623,1.2538202075705083,-0.7165262923544214,-3.2476102490620176
AUDUSD,8760,84,42.86,17,41,25,-0.6114517155524468,3.3193218439120153,-3.930773559464462,-0.5618111134168905,0.35263018568157717,-1.1464336182733244,-12.866337561707184
USDCAD,8760,78,38.46,13,31,33,-0.7155460008652637,-4.212268231223448,3.4967222303581846,-0.7211902393730604,-0.47960455805434093,-1.6704760157532899,-10.090960773166573
USDCHF,8760,69,34.78,4,24,41,-0.3532703738215792,-0.07193460490463321,-0.281335768916946,-0.3827582138074709,0.028379131239032414,-0.8322576213301874,-5.691924206256989
XAUUSD,8760,105,44.76,38,57,9,-0.8963682933590511,1.0962953838573375,-1.9926636772163886,-0.5800038705086015,0.15048935241399494,-2.215328636874831,-14.837724283510594
