pair,hours,trades,win_rate_pct,exits_stop_loss,exits_trailing_profit,exits_signal_reversal,strategy_return_pct,buy_hold_return_pct,gap_pct,strategy_sharpe,buy_hold_sharpe,strategy_max_dd_pct,buy_hold_max_dd_pct
EURUSD,4320,542,7.75,1,2,187,-2.422627391253074,-8.384182116873973,5.961554725620899,-5.416567426324861,-2.399667611569069,-2.429708018857361,-8.653636805171743
GBPUSD,4320,514,10.51,0,2,175,-1.389835431405717,-4.723128208451232,3.333292777045515,-2.869769504239621,-1.2232947809652908,-1.507962493843615,-5.667005308569545
USDJPY,4320,473,10.99,0,0,165,-0.1227223540885003,3.603676742528794,-3.7263990966172944,-0.285725187315005,1.1052444285305927,-0.7028683028870772,-2.576940991007146
AUDUSD,4320,470,9.15,1,8,155,-0.5574948010636183,-2.790814174224854,2.2333193731612355,-0.8019173356513101,-0.4897396577911299,-1.1790092625412285,-8.217266528000833
USDCAD,4320,516,8.91,0,5,177,-1.1074202187748794,3.539254585664131,-4.6466748044390105,-2.0742361169781716,0.8794286819697847,-1.7449312527547163,-4.889652131535586
USDCHF,4320,531,9.23,0,0,185,-1.4224348465461834,-0.09588981388659601,-1.3265450326595873,-3.0610347034556393,0.011609865001788303,-1.5318233151720988,-2.9258187487319725
XAUUSD,4320,518,8.49,6,26,158,-2.02705429717549,5.127931428327437,-7.154985725502927,-2.091505537950655,0.6776398701040678,-2.91093124081273,-9.679450914253392
