symbol,trades,win_rate,strategy_return_pct,buy_hold_return_pct,gap_pct
BAC,74,10.81,6.637067577696697,165.73129251700684,-159.09422493931015
GPC,18,0.0,-3.007552372453036,41.97654462242562,-44.984096994878655
LB,64,10.94,-3.364987495997979,7.203667321545508,-10.568654817543486
USB,48,12.5,-3.141212973796617,62.852897473997025,-65.99411044779364
PEP,62,12.9,-0.3125851643544738,56.33608815426998,-56.64867331862445
RHT,63,11.11,9.259568973741349,134.37045123726347,-125.11088226352211
ED,59,13.56,1.437490606317413,31.68853893263343,-30.251048326316017
VNO,52,13.46,0.93721977834095,-20.364453910779797,21.301673689120747
BRK.B,64,15.62,6.899702185336485,106.03598971722366,-99.13628753188718
DPS,58,12.07,10.233622218124685,158.03630002186753,-147.80267780374285
HES,74,5.41,-1.7876175633672393,-34.52575330265697,32.73813573928973
NKE,56,14.29,8.319787863908438,140.4469683092141,-132.12718044530567
UTX,65,13.85,3.8797750565446334,46.48684648684648,-42.60707143030185
MDLZ,61,8.2,-3.029853417210776,58.6815561959654,-61.71140961317617
L,29,3.45,-3.558690471827285,9.14481185860889,-12.703502330436175
LYB,63,15.87,8.575887110308875,77.53984865561101,-68.96396154530214
EIX,55,16.36,3.8496542862401255,24.770066889632094,-20.92041260339197
MRO,43,6.98,-4.066016734552584,-52.70779032725167,48.64177359269909
CHK,35,5.71,-3.6261517854214906,-85.71428571428571,82.08813392886422
LUV,58,17.24,32.23419683224018,397.33676975945014,-365.10257292720996
ECL,67,14.93,-0.04561279707498034,78.9247311827957,-78.97034397987068
SPGI,67,16.42,16.36899347529879,328.1462385751113,-311.7772450998125
AMZN,62,14.52,27.55559698386068,440.8589425462875,-413.3033455624268
GGP,54,11.11,-3.116538823752315,9.086395233366426,-12.20293405711874
